id,city_name,city_url
1,Tokyo,https://www.accuweather.com/zh/jp/tokyo/226396/weather-forecast/226396
2,Kitanomarukoen,https://www.accuweather.com/zh/jp/kitanomarukoen/2409585/weather-forecast/2409585
3,Kyoto,https://www.accuweather.com/zh/jp/kyoto-shi/224436/weather-forecast/224436
4,Sendai,https://www.accuweather.com/zh/jp/sendai-shi/224683/weather-forecast/224683
5,Kitakyushu,https://www.accuweather.com/zh/jp/kitakyushu-shi/223545/weather-forecast/223545
6,Chiba,https://www.accuweather.com/zh/jp/chiba-shi/223069/weather-forecast/223069
7,Nagoya,https://www.accuweather.com/zh/jp/nagoya-shi/221855/weather-forecast/221855
8,Saitama,https://www.accuweather.com/zh/jp/saitama-shi/2012157/weather-forecast/2012157
9,Osaka,https://www.accuweather.com/zh/jp/osaka-shi/225007/weather-forecast/225007
10,Hiroshima,https://www.accuweather.com/zh/jp/hiroshima-shi/223955/weather-forecast/223955
11,Gifu,https://www.accuweather.com/zh/jp/gifu-shi/223600/weather-forecast/223600
12,Kawasaki,https://www.accuweather.com/zh/jp/kawasaki-shi/226399/weather-forecast/226399
13,Sapporo,https://www.accuweather.com/zh/jp/sapporo-shi/223985/weather-forecast/223985
14,Yokohama,https://www.accuweather.com/zh/jp/yokohama-shi/224374/weather-forecast/224374
15,Kobe,https://www.accuweather.com/zh/jp/kobe-shi/224023/weather-forecast/224023
16,Fukui,https://www.accuweather.com/zh/jp/fukui-shi/223540/weather-forecast/223540
17,Fukuoka,https://www.accuweather.com/zh/jp/fukuoka-shi/223544/weather-forecast/223544
18,Fukushima,https://www.accuweather.com/zh/jp/fukushima-shi/223551/weather-forecast/223551
19,Akita,https://www.accuweather.com/zh/jp/akita-shi/221897/weather-forecast/221897
20,Aomori,https://www.accuweather.com/zh/jp/aomori-shi/222341/weather-forecast/222341
21,Kagoshima,https://www.accuweather.com/zh/jp/kagoshima-shi/224369/weather-forecast/224369
